long,lat,periodo,titulo_proyecto,productora_razon_social,tipo_produccion,fecha_rodaje,direccion,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.45701579,-34.57994476,2015,UNIVESIDAD DEL AMIGO,PANK SRL,CINE PUBLICITARIO,2015-05-10,GIRIBONE 1041,GIRIBONE,1041,CHACARITA,COMUNA 15,1427,C1427CAM
-58.46253473,-34.57964214,2013,NOVELA ARBOL,ENDEMOL ARGENTINA SA,PROGRAMA TELEVISIVO,2013-03-27,GIRIBONE 1402,GIRIBONE,1402,VILLA ORTUZAR,COMUNA 15,1427,C1427CAV
-58.46253473,-34.57964214,2012,TIEMPOS COMPULSIVOS,POL-KA PRODUCCIONES SA,PROGRAMA TELEVISIVO,2012-01-08,GIRIBONE 1402,GIRIBONE,1402,VILLA ORTUZAR,COMUNA 15,1427,C1427CAV
-58.46503779,-34.57956854,2015,EL NEGRO OLMEDO,BLANCO EMILIO FERNANDO,LARGOMETRAJE,2015-08-02,GIRIBONE 1620,GIRIBONE,1620,VILLA ORTUZAR,COMUNA 15,1427,C1427CAZ
-58.46554181,-34.57948105,2014,TANG LA MESA DE LA MAMA DE MICA,ORUGA FILMS SA,CINE PUBLICITARIO,2014-05-19,GIRIBONE 1663,GIRIBONE,1663,VILLA ORTUZAR,COMUNA 15,1427,C1427CAY
-58.4655956,-34.57955215,2015,A MIS LE ENCANTA,HYPNOSIS SRL,CINE PUBLICITARIO,2015-05-16,GIRIBONE 1664,GIRIBONE,1664,VILLA ORTUZAR,COMUNA 15,1427,C1427CAZ
-58.4655956,-34.57955215,2014,ALARIS TRAPICHE,PALERMO FILMS SA,CINE PUBLICITARIO,2014-10-21,GIRIBONE 1664,GIRIBONE,1664,VILLA ORTUZAR,COMUNA 15,1427,C1427CAZ
-58.4655956,-34.57955215,2013,CADENA DE PALABRAS 2013,HYPNOSIS SRL,CINE PUBLICITARIO,2013-07-09,GIRIBONE 1664,GIRIBONE,1664,VILLA ORTUZAR,COMUNA 15,1427,C1427CAZ
-58.4655956,-34.57955215,2013,CHANCHITO,CASTA DIVA PICTURES SA,CINE PUBLICITARIO,2013-06-12,GIRIBONE 1664,GIRIBONE,1664,VILLA ORTUZAR,COMUNA 15,1427,C1427CAZ
-58.4655956,-34.57955215,2015,DESCUENTOS SANTANDER RIO,ORUGA FILMS SA,CINE PUBLICITARIO,2015-04-21,GIRIBONE 1664,GIRIBONE,1664,VILLA ORTUZAR,COMUNA 15,1427,C1427CAZ
-58.4655956,-34.57955215,2012,EN EL AIRE,CINE PUBLICITARIO SRL,CINE PUBLICITARIO,2012-06-19,GIRIBONE 1664,GIRIBONE,1664,VILLA ORTUZAR,COMUNA 15,1427,C1427CAZ
